City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,ylitornio,66.3089,23.6773,45.63,40,44,7.25,FI,1685127429
340,tegueste,28.5167,-16.3167,63.99,80,40,4.0,ES,1685127429
341,leh,34.1667,77.5833,42.24,59,100,5.95,IN,1685127430
342,cruzeiro do sul,-29.5128,-51.9853,84.52,57,100,5.73,BR,1685127430
343,chibougamau,49.9168,-74.3659,56.82,30,100,8.05,CA,1685127430
344,susuman,62.7833,148.1667,34.54,85,12,3.58,RU,1685127430
345,amga,60.8953,131.9608,37.18,87,5,2.62,RU,1685127430
346,al jahra',29.3375,47.6581,94.62,24,9,7.0,KW,1685127430
347,christchurch,-43.5333,172.6333,61.92,56,20,10.36,NZ,1685127430
348,iskateley,67.6803,53.1512,48.27,85,25,12.48,RU,1685127431
349,sai buri,6.7013,101.6168,82.96,77,100,9.4,TH,1685127431
350,vadso,70.0744,29.7487,40.08,87,75,3.44,NO,1685127431
351,sussex,41.1834,-74.6663,73.62,32,0,4.0,US,1685127164
352,dhing,26.4667,92.4667,72.9,88,17,5.7,IN,1685127431
353,idabel,33.8957,-94.8263,84.79,45,0,8.05,US,1685127336
354,chos malal,-37.3781,-70.2709,49.32,66,81,22.03,AR,1685127431
355,gorokhovets,56.1947,42.7003,59.02,94,31,3.98,RU,1685127431
356,shubarshi,48.5872,57.1869,70.83,30,66,4.61,KZ,1685127432
357,milharado,38.9473,-9.1991,65.79,69,40,12.66,PT,1685127432
358,giado,31.9582,12.0203,60.08,75,23,13.49,LY,1685127432
359,mumbai,19.0144,72.8479,85.98,70,40,9.22,IN,1685127177
360,port said,31.2565,32.2841,73.38,73,0,19.57,EG,1685127432
361,kavieng,-2.5744,150.7967,81.14,77,99,3.47,PG,1685127432
362,volgodonsk,47.5136,42.1514,63.93,95,100,15.43,RU,1685127433
363,miri,4.4148,114.0089,78.94,89,20,2.3,MY,1685127433
